host,ip,port,protocol,title,domain,country,city,link,org
152.70.240.199:8082,152.70.240.199,8082,http,H2 Console,,KR,Seoul,http://152.70.240.199:8082,Oracle Corporation
191.252.220.229:8082,191.252.220.229,8082,http,H2 Console,,BR,Sao Paulo,http://191.252.220.229:8082,Locaweb Servicos de Internet S/A
112.5.3.2:8082,112.5.3.2,8082,http,H2 Console,,CN,Beijing,http://112.5.3.2:8082,"China Mobile Communications Group Co., Ltd."
103.189.235.250:8082,103.189.235.250,8082,http,H2 Console,,SG,Singapore,http://103.189.235.250:8082,Cloud Host Pte Ltd
51.15.16.62:8082,51.15.16.62,8082,http,H2 Console,,NL,Amsterdam,http://51.15.16.62:8082,Scaleway SAS
129.211.187.223:8082,129.211.187.223,8082,http,H2 Console,,CN,Nanjing,http://129.211.187.223:8082,Shenzhen Tencent Computer Systems Company Limited
148.67.155.163:8082,148.67.155.163,8082,http,H2 Console,,JP,Tokyo,http://148.67.155.163:8082,"NTT DOCOMO, INC."
95.209.141.148:8082,95.209.141.148,8082,http,H2 Console,,SE,Lammhult,http://95.209.141.148:8082,Hi3G Access AB
204.61.209.146:8082,204.61.209.146,8082,http,H2 Console,,US,Berkeley,http://204.61.209.146:8082,"WoodyNet, Inc."
107.174.93.180:8082,107.174.93.180,8082,http,H2 Console,,US,Rancho Cucamonga,http://107.174.93.180:8082,HostPapa
5.133.62.101:8082,5.133.62.101,8082,http,H2 Console,,IT,Perugia,http://5.133.62.101:8082,Xstream Srl
79.9.138.55:8082,79.9.138.55,8082,http,H2 Console,,IT,Milan,http://79.9.138.55:8082,TIM
185.8.27.234:8082,185.8.27.234,8082,http,H2 Console,,IT,Badesi,http://185.8.27.234:8082,Stel S.r.l.
135.125.232.158:8082,135.125.232.158,8082,http,H2 Console,,FR,Paris,http://135.125.232.158:8082,OVH SAS
91.134.40.149:8082,91.134.40.149,8082,http,H2 Console,,FR,Strasbourg,http://91.134.40.149:8082,OVH SAS
69.46.11.246:8082,69.46.11.246,8082,http,H2 Console,,US,Tampa,http://69.46.11.246:8082,"HIVELOCITY, Inc."
45.141.228.82:8082,45.141.228.82,8082,http,H2 Console,,IT,San Romano in Garfagnana,http://45.141.228.82:8082,Digital Globe S.r.l.
222.215.215.140:8082,222.215.215.140,8082,http,H2 Console,,CN,Guangyuan,http://222.215.215.140:8082,Chinanet
212.183.187.26:8082,212.183.187.26,8082,http,H2 Console,,IT,Brescia,http://212.183.187.26:8082,INTRED S.p.A.
46.101.224.228:8088,46.101.224.228,8088,http,H2 Console,,DE,Frankfurt am Main,http://46.101.224.228:8088,"DigitalOcean, LLC"
38.247.189.75:8082,38.247.189.75,8082,http,H2 Console,,US,Kansas City,http://38.247.189.75:8082,"WANSecurity, Inc."
88.35.142.50:8082,88.35.142.50,8082,http,H2 Console,,IT,Modena,http://88.35.142.50:8082,TIM
154.8.198.10:8082,154.8.198.10,8082,http,H2 Console,,CN,Beijing,http://154.8.198.10:8082,Shenzhen Tencent Computer Systems Company Limited
121.179.26.67:8082,121.179.26.67,8082,http,H2 Console,,KR,Seongnam,http://121.179.26.67:8082,Korea Telecom
82.197.70.87:8082,82.197.70.87,8082,http,H2 Console,,SG,Singapore,http://82.197.70.87:8082,Contabo Asia Private Limited
146.99.196.144:8082,146.99.196.144,8082,http,H2 Console,,JP,Tokyo,http://146.99.196.144:8082,"NTT DOCOMO, INC."
164.52.205.244:8082,164.52.205.244,8082,http,H2 Console,,IN,Noida,http://164.52.205.244:8082,"282, Sector 19"
187.174.160.13:8082,187.174.160.13,8082,http,H2 Console,,MX,Guanajuato,http://187.174.160.13:8082,UNINET
173.249.16.21:8083,173.249.16.21,8083,http,H2 Console,,FR,Lauterbourg,http://173.249.16.21:8083,Contabo GmbH
217.154.77.175:8082,217.154.77.175,8082,http,H2 Console,,DE,Wehlheiden,http://217.154.77.175:8082,IONOS SE
109.117.11.154:8082,109.117.11.154,8082,http,H2 Console,,IT,Ivrea,http://109.117.11.154:8082,Fastweb
31.197.145.186:8082,31.197.145.186,8082,http,H2 Console,,IT,Milan,http://31.197.145.186:8082,TIM
213.32.77.98:8082,213.32.77.98,8082,http,H2 Console,,FR,Roubaix,http://213.32.77.98:8082,OVH SAS
125.122.67.226:8082,125.122.67.226,8082,http,H2 Console,,CN,Hangzhou,http://125.122.67.226:8082,Chinanet
62.101.71.170:8082,62.101.71.170,8082,http,H2 Console,,IT,Milan,http://62.101.71.170:8082,Fastweb
192.169.215.16:8082,192.169.215.16,8082,http,H2 Console,,US,Tempe,http://192.169.215.16:8082,"GoDaddy.com, LLC"
103.1.92.68:8082,103.1.92.68,8082,http,H2 Console,,NP,Kathmandu,http://103.1.92.68:8082,Classic Tech Pvt. Ltd.
83.143.227.8:8082,83.143.227.8,8082,http,H2 Console,,GB,London,http://83.143.227.8:8082,Telcom Networks Limited
119.188.168.180:8082,119.188.168.180,8082,http,H2 Console,,CN,Jinan,http://119.188.168.180:8082,CHINA UNICOM China169 Backbone
78.79.200.66:8082,78.79.200.66,8082,http,H2 Console,,SE,Solna,http://78.79.200.66:8082,Telia Company AB
143.198.26.140:8082,143.198.26.140,8082,http,H2 Console,,US,Clifton,http://143.198.26.140:8082,"DigitalOcean, LLC"
193.70.79.185:8082,193.70.79.185,8082,http,H2 Console,,FR,Roubaix,http://193.70.79.185:8082,OVH SAS
101.59.100.250:8082,101.59.100.250,8082,http,H2 Console,,IT,Milan,http://101.59.100.250:8082,Sky Italia srl
93.45.4.162:8082,93.45.4.162,8082,http,H2 Console,,IT,Trieste,http://93.45.4.162:8082,Fastweb
88.61.113.134:8082,88.61.113.134,8082,http,H2 Console,,IT,Milan,http://88.61.113.134:8082,TIM
101.35.136.215:8082,101.35.136.215,8082,http,H2 Console,,CN,Shanghai,http://101.35.136.215:8082,Shenzhen Tencent Computer Systems Company Limited
94.89.95.123:8082,94.89.95.123,8082,http,H2 Console,,IT,Milan,http://94.89.95.123:8082,TIM
185.21.116.117:8082,185.21.116.117,8082,http,H2 Console,,IT,Marino,http://185.21.116.117:8082,Semplify Srl
135.125.122.56:8082,135.125.122.56,8082,http,H2 Console,,FR,Roubaix,http://135.125.122.56:8082,OVH SAS
82.156.5.79:8082,82.156.5.79,8082,http,H2 Console,,CN,Beijing,http://82.156.5.79:8082,Shenzhen Tencent Computer Systems Company Limited
2.47.188.86:8082,2.47.188.86,8082,http,H2 Console,,IT,Ivrea,http://2.47.188.86:8082,Fastweb
223.94.128.10:8082,223.94.128.10,8082,http,H2 Console,,CN,Taizhou,http://223.94.128.10:8082,China Mobile communications corporation
49.107.13.45:8082,49.107.13.45,8082,http,H2 Console,,JP,Tokyo,http://49.107.13.45:8082,"NTT DOCOMO, INC."
211.234.113.243:8082,211.234.113.243,8082,http,H2 Console,,KR,Seoul,http://211.234.113.243:8082,LG DACOM Corporation
104.130.31.44:8082,104.130.31.44,8082,http,H2 Console,,US,Dulles,http://104.130.31.44:8082,Rackspace Hosting
86.104.6.171:8082,86.104.6.171,8082,http,H2 Console,,IT,Bologna,http://86.104.6.171:8082,Lepida S.c.p.A.
45.147.178.57:81,45.147.178.57,81,http,H2 Console,,RU,Saint Petersburg,http://45.147.178.57:81,Beget LLC
78.47.165.120:9093,78.47.165.120,9093,http,H2 Console,,DE,Nuremberg,http://78.47.165.120:9093,Hetzner Online GmbH
62.182.196.126:8085,62.182.196.126,8085,http,H2 Console,,SE,Stockholm,http://62.182.196.126:8085,SIA VEESP
118.190.199.130:8082,118.190.199.130,8082,http,H2 Console,,CN,Qingdao,http://118.190.199.130:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
120.79.31.53:8082,120.79.31.53,8082,http,H2 Console,,CN,Shenzhen,http://120.79.31.53:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
e-logiq.com:8082,193.70.79.185,8082,http,H2 Console,e-logiq.com,FR,Roubaix,http://e-logiq.com:8082,OVH SAS
www.centrecultureljeanlhote.com:8082,193.70.79.185,8082,http,H2 Console,centrecultureljeanlhote.com,FR,Roubaix,http://www.centrecultureljeanlhote.com:8082,OVH SAS
maxencemassot.art:8082,193.70.79.185,8082,http,H2 Console,maxencemassot.art,FR,Roubaix,http://maxencemassot.art:8082,OVH SAS
158.101.168.167:8082,158.101.168.167,8082,http,H2 Console,,DE,Frankfurt am Main,http://158.101.168.167:8082,Oracle Corporation
203.237.167.105:8082,203.237.167.105,8082,http,H2 Console,,KR,Seoul,http://203.237.167.105:8082,LG DACOM Corporation
164.90.132.183:8083,164.90.132.183,8083,http,H2 Console,,US,Clifton,http://164.90.132.183:8083,"DigitalOcean, LLC"
mva.neuves-maisons.fr:8082,193.70.79.185,8082,http,H2 Console,neuves-maisons.fr,FR,Roubaix,http://mva.neuves-maisons.fr:8082,OVH SAS
45.77.13.130:8082,45.77.13.130,8082,http,H2 Console,,JP,Tokyo,http://45.77.13.130:8082,"The Constant Company, LLC"
218.200.38.226:8082,218.200.38.226,8082,http,H2 Console,,CN,Yan'an,http://218.200.38.226:8082,"China Mobile Communications Group Co., Ltd."
138.128.241.198:8082,138.128.241.198,8082,http,H2 Console,,US,New York City,http://138.128.241.198:8082,"Kamatera, Inc."
183.108.228.138:8082,183.108.228.138,8082,http,H2 Console,,KR,Seongnam,http://183.108.228.138:8082,Korea Telecom
220.94.165.237:8082,220.94.165.237,8082,http,H2 Console,,KR,Seongnam,http://220.94.165.237:8082,Korea Telecom
144.217.173.161:8082,144.217.173.161,8082,http,H2 Console,,CA,Montreal,http://144.217.173.161:8082,OVH SAS
186.96.0.81:8082,186.96.0.81,8082,http,H2 Console,,MX,Mexico City,http://186.96.0.81:8082,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V."
49.234.25.114:8082,49.234.25.114,8082,http,H2 Console,,CN,Beijing,http://49.234.25.114:8082,Shenzhen Tencent Computer Systems Company Limited
info.dematic.cn:8082,49.234.25.114,8082,http,H2 Console,dematic.cn,CN,Beijing,http://info.dematic.cn:8082,Shenzhen Tencent Computer Systems Company Limited
https://81.169.153.7:8082,81.169.153.7,8082,https,H2 Console,,DE,Munich,https://81.169.153.7:8082,Strato GmbH
1.66.191.4:8082,1.66.191.4,8082,http,H2 Console,,JP,Tokyo,http://1.66.191.4:8082,"NTT DOCOMO, INC."
68.169.51.43:9090,68.169.51.43,9090,http,H2 Console,,US,Norcross,http://68.169.51.43:9090,"Cloudflare London, LLC"
68.169.51.42:9090,68.169.51.42,9090,http,H2 Console,,US,Norcross,http://68.169.51.42:9090,"Cloudflare London, LLC"
37.128.206.52:8083,37.128.206.52,8083,http,H2 Console,,LV,Riga,http://37.128.206.52:8083,SIA VEESP
151.236.61.167:8082,151.236.61.167,8082,http,H2 Console,,GB,Reading,http://151.236.61.167:8082,Team Blue Carrier Limited
101.59.100.78:8082,101.59.100.78,8082,http,H2 Console,,IT,Milan,http://101.59.100.78:8082,Sky Italia srl
189.225.2.145:8082,189.225.2.145,8082,http,H2 Console,,MX,Tlalnepantla,http://189.225.2.145:8082,UNINET
146.99.148.168:8082,146.99.148.168,8082,http,H2 Console,,JP,Tokyo,http://146.99.148.168:8082,"NTT DOCOMO, INC."
146.160.218.139:8082,146.160.218.139,8082,http,H2 Console,,JP,Morioka,http://146.160.218.139:8082,"NTT DOCOMO, INC."
2.184.236.104:8084,2.184.236.104,8084,http,H2 Console,,IR,Post,http://2.184.236.104:8084,Iran Telecommunication Company PJS
146.160.205.255:8082,146.160.205.255,8082,http,H2 Console,,JP,Tokyo,http://146.160.205.255:8082,"NTT DOCOMO, INC."
222.112.209.244:8082,222.112.209.244,8082,http,H2 Console,,KR,Seongnam,http://222.112.209.244:8082,Korea Telecom
183.224.79.111:8082,183.224.79.111,8082,http,H2 Console,,CN,Kunming,http://183.224.79.111:8082,"China Mobile Communications Group Co., Ltd."
187.214.220.75:8082,187.214.220.75,8082,http,H2 Console,,MX,Tlalnepantla,http://187.214.220.75:8082,UNINET
148.68.10.171:8082,148.68.10.171,8082,http,H2 Console,,JP,Tokyo,http://148.68.10.171:8082,"NTT DOCOMO, INC."
146.99.31.67:8082,146.99.31.67,8082,http,H2 Console,,JP,Tokyo,http://146.99.31.67:8082,"NTT DOCOMO, INC."
222.100.217.243:8082,222.100.217.243,8082,http,H2 Console,,KR,Seongnam,http://222.100.217.243:8082,Korea Telecom
156.225.23.73:8099,156.225.23.73,8099,http,H2 Console,,US,Los Angeles,http://156.225.23.73:8099,cognetcloud INC
121.40.169.144:8082,121.40.169.144,8082,http,H2 Console,,CN,Hangzhou,http://121.40.169.144:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
148.67.81.77:8082,148.67.81.77,8082,http,H2 Console,,JP,Tokyo,http://148.67.81.77:8082,"NTT DOCOMO, INC."
146.99.232.99:8082,146.99.232.99,8082,http,H2 Console,,JP,Tokyo,http://146.99.232.99:8082,"NTT DOCOMO, INC."
51.75.247.146:8082,51.75.247.146,8082,http,H2 Console,,FR,Roubaix,http://51.75.247.146:8082,OVH SAS
112.74.160.48:8082,112.74.160.48,8082,http,H2 Console,,CN,Shenzhen,http://112.74.160.48:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
189.225.211.99:8082,189.225.211.99,8082,http,H2 Console,,MX,Tlalnepantla,http://189.225.211.99:8082,UNINET
121.40.101.97:8082,121.40.101.97,8082,http,H2 Console,,CN,Hangzhou,http://121.40.101.97:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
195.36.30.242:8082,195.36.30.242,8082,http,H2 Console,,IT,Milan,http://195.36.30.242:8082,HAL Service SpA
221.214.34.106:8082,221.214.34.106,8082,http,H2 Console,,CN,Jinan,http://221.214.34.106:8082,CHINA UNICOM China169 Backbone
51.79.4.122:8082,51.79.4.122,8082,http,H2 Console,,KH,-,http://51.79.4.122:8082,OVH SAS
139.196.95.8:8082,139.196.95.8,8082,http,H2 Console,,CN,Shanghai,http://139.196.95.8:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
20.151.201.171:8082,20.151.201.171,8082,http,H2 Console,,CA,Toronto,http://20.151.201.171:8082,Microsoft Corporation
account-integritypost.ydns.eu:8082,103.189.235.250,8082,http,H2 Console,ydns.eu,SG,Singapore,http://account-integritypost.ydns.eu:8082,Cloud Host Pte Ltd
fsplatform.com:8082,47.100.5.238,8082,http,H2 Console,fsplatform.com,CN,Shanghai,http://fsplatform.com:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
34.81.252.241:8086,34.81.252.241,8086,http,H2 Console,,CN,Taipei,http://34.81.252.241:8086,Google LLC
neossrlpa.3cx.it:8082,93.45.4.162,8082,http,H2 Console,3cx.it,IT,Trieste,http://neossrlpa.3cx.it:8082,Fastweb
systems.kento-tech.com:8082,192.169.215.16,8082,http,H2 Console,kento-tech.com,US,Tempe,http://systems.kento-tech.com:8082,"GoDaddy.com, LLC"
video.dematic.cn:8082,49.234.25.114,8082,http,H2 Console,dematic.cn,CN,Beijing,http://video.dematic.cn:8082,Shenzhen Tencent Computer Systems Company Limited
web13.prokitchensoftware.com:8082,104.130.31.44,8082,http,H2 Console,prokitchensoftware.com,US,Dulles,http://web13.prokitchensoftware.com:8082,Rackspace Hosting
www.fsplatform.com:8082,47.100.5.238,8082,http,H2 Console,fsplatform.com,CN,Shanghai,http://www.fsplatform.com:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
189.225.21.217:8082,189.225.21.217,8082,http,H2 Console,,MX,Tlalnepantla,http://189.225.21.217:8082,UNINET
51.79.4.123:8082,51.79.4.123,8082,http,H2 Console,,KH,-,http://51.79.4.123:8082,OVH SAS
49.103.42.217:8082,49.103.42.217,8082,http,H2 Console,,JP,Tokyo,http://49.103.42.217:8082,"NTT DOCOMO, INC."
1.66.130.57:8082,1.66.130.57,8082,http,H2 Console,,JP,Tokyo,http://1.66.130.57:8082,"NTT DOCOMO, INC."
149.56.162.246:8082,149.56.162.246,8082,http,H2 Console,,CA,Montreal,http://149.56.162.246:8082,OVH SAS
157.112.7.177:8082,157.112.7.177,8082,http,H2 Console,,JP,Tokyo,http://157.112.7.177:8082,"NTT DOCOMO, INC."
47.104.70.218:8090,47.104.70.218,8090,http,H2 Console,,CN,Qingdao,http://47.104.70.218:8090,"Hangzhou Alibaba Advertising Co.,Ltd."
47.100.5.238:8082,47.100.5.238,8082,http,H2 Console,,CN,Shanghai,http://47.100.5.238:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
47.90.153.14:8000,47.90.153.14,8000,http,H2 Console,,US,Virginia Beach,http://47.90.153.14:8000,"Alibaba US Technology Co., Ltd."
47.251.56.210:8082,47.251.56.210,8082,http,H2 Console,,US,Los Angeles,http://47.251.56.210:8082,"Alibaba US Technology Co., Ltd."
198.245.53.210:8082,198.245.53.210,8082,http,H2 Console,,CA,Montreal,http://198.245.53.210:8082,OVH SAS
148.68.181.60:8082,148.68.181.60,8082,http,H2 Console,,JP,Tokyo,http://148.68.181.60:8082,"NTT DOCOMO, INC."
183.107.185.128:8082,183.107.185.128,8082,http,H2 Console,,KR,Seongnam,http://183.107.185.128:8082,Korea Telecom
146.160.238.45:8082,146.160.238.45,8082,http,H2 Console,,JP,Tokyo,http://146.160.238.45:8082,"NTT DOCOMO, INC."
195.36.19.68:8082,195.36.19.68,8082,http,H2 Console,,IT,Milan,http://195.36.19.68:8082,HAL Service SpA
159.223.88.126:8082,159.223.88.126,8082,http,H2 Console,,SG,Singapore,http://159.223.88.126:8082,"DigitalOcean, LLC"
189.225.36.53:8082,189.225.36.53,8082,http,H2 Console,,MX,Tlalnepantla,http://189.225.36.53:8082,UNINET
173.249.16.21:8484,173.249.16.21,8484,http,H2 Console,,FR,Lauterbourg,http://173.249.16.21:8484,Contabo GmbH
139.155.238.123:8082,139.155.238.123,8082,http,H2 Console,,CN,Chengdu,http://139.155.238.123:8082,Shenzhen Tencent Computer Systems Company Limited
148.67.74.75:8082,148.67.74.75,8082,http,H2 Console,,JP,Tokyo,http://148.67.74.75:8082,"NTT DOCOMO, INC."
157.112.4.217:8082,157.112.4.217,8082,http,H2 Console,,JP,Tokyo,http://157.112.4.217:8082,"NTT DOCOMO, INC."
128.199.81.75:8082,128.199.81.75,8082,http,H2 Console,,SG,Singapore,http://128.199.81.75:8082,"DigitalOcean, LLC"
47.108.167.129:8082,47.108.167.129,8082,http,H2 Console,,CN,Chengdu,http://47.108.167.129:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
72.10.96.176:8082,72.10.96.176,8082,http,H2 Console,,US,Hartford,http://72.10.96.176:8082,Connecticut Education Network
78.31.66.219:8888,78.31.66.219,8888,http,H2 Console,,DE,Dusseldorf,http://78.31.66.219:8888,WIIT AG
78.31.66.219:2000,78.31.66.219,2000,http,H2 Console,,DE,Dusseldorf,http://78.31.66.219:2000,WIIT AG
75.119.159.64:8092,75.119.159.64,8092,http,H2 Console,,FR,Lauterbourg,http://75.119.159.64:8092,Contabo GmbH
148.67.1.207:8082,148.67.1.207,8082,http,H2 Console,,JP,Tokyo,http://148.67.1.207:8082,"NTT DOCOMO, INC."
103.181.177.186:8082,103.181.177.186,8082,http,H2 Console,,IN,Mumbai,http://103.181.177.186:8082,HOSTDZIRE WEB SERVICES PRIVATE LIMITED
1.72.145.59:8082,1.72.145.59,8082,http,H2 Console,,JP,Tokyo,http://1.72.145.59:8082,"NTT DOCOMO, INC."
101.58.3.246:8082,101.58.3.246,8082,http,H2 Console,,IT,Cagliari,http://101.58.3.246:8082,Sky Italia srl
185.22.59.21:8082,185.22.59.21,8082,http,H2 Console,,IT,Milan,http://185.22.59.21:8082,HAL Service SpA
177.196.108.220:8082,177.196.108.220,8082,http,H2 Console,,BR,Campinas,http://177.196.108.220:8082,TELEFONICA BRASIL S.A
1.72.95.90:8082,1.72.95.90,8082,http,H2 Console,,JP,Tokyo,http://1.72.95.90:8082,"NTT DOCOMO, INC."
146.99.237.190:8082,146.99.237.190,8082,http,H2 Console,,JP,Tokyo,http://146.99.237.190:8082,"NTT DOCOMO, INC."
78.31.66.219:5555,78.31.66.219,5555,http,H2 Console,,DE,Dusseldorf,http://78.31.66.219:5555,WIIT AG
211.64.120.213:8082,211.64.120.213,8082,http,H2 Console,,CN,Beijing,http://211.64.120.213:8082,China Education and Research Network Center
177.196.108.201:8082,177.196.108.201,8082,http,H2 Console,,BR,Campinas,http://177.196.108.201:8082,TELEFONICA BRASIL S.A
185.22.57.209:8082,185.22.57.209,8082,http,H2 Console,,IT,Milan,http://185.22.57.209:8082,HAL Service SpA
148.68.5.249:8082,148.68.5.249,8082,http,H2 Console,,JP,Tokyo,http://148.68.5.249:8082,"NTT DOCOMO, INC."
49.107.101.101:8082,49.107.101.101,8082,http,H2 Console,,JP,Tokyo,http://49.107.101.101:8082,"NTT DOCOMO, INC."
189.225.42.12:8082,189.225.42.12,8082,http,H2 Console,,MX,Tlalnepantla,http://189.225.42.12:8082,UNINET
148.67.244.33:8082,148.67.244.33,8082,http,H2 Console,,JP,Tokyo,http://148.67.244.33:8082,"NTT DOCOMO, INC."
139.196.229.158:8082,139.196.229.158,8082,http,H2 Console,,CN,Shanghai,http://139.196.229.158:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
123.207.254.201:8082,123.207.254.201,8082,http,H2 Console,,CN,Guangzhou,http://123.207.254.201:8082,Shenzhen Tencent Computer Systems Company Limited
146.160.179.122:8082,146.160.179.122,8082,http,H2 Console,,JP,Tokyo,http://146.160.179.122:8082,"NTT DOCOMO, INC."
https://121.89.212.226:8082,121.89.212.226,8082,https,H2 Console,,CN,Beijing,https://121.89.212.226:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
221.154.205.64:8082,221.154.205.64,8082,http,H2 Console,,KR,Seongnam,http://221.154.205.64:8082,Korea Telecom
106.14.222.210:8082,106.14.222.210,8082,http,H2 Console,,CN,Shanghai,http://106.14.222.210:8082,"Hangzhou Alibaba Advertising Co.,Ltd."
51.79.4.125:8082,51.79.4.125,8082,http,H2 Console,,KH,-,http://51.79.4.125:8082,OVH SAS
146.160.50.73:8082,146.160.50.73,8082,http,H2 Console,,JP,Tokyo,http://146.160.50.73:8082,"NTT DOCOMO, INC."
146.160.108.153:8082,146.160.108.153,8082,http,H2 Console,,JP,Tokyo,http://146.160.108.153:8082,"NTT DOCOMO, INC."
193.206.59.85:8082,193.206.59.85,8082,http,H2 Console,,IT,Alessandria,http://193.206.59.85:8082,Consortium GARR
195.36.23.31:8082,195.36.23.31,8082,http,H2 Console,,IT,Milan,http://195.36.23.31:8082,HAL Service SpA
158.69.139.198:8082,158.69.139.198,8082,http,H2 Console,,CA,Montreal,http://158.69.139.198:8082,OVH SAS
183.75.52.242:8082,183.75.52.242,8082,http,H2 Console,,JP,Maebashi,http://183.75.52.242:8082,"NTT DOCOMO, INC."
1.77.175.105:8082,1.77.175.105,8082,http,H2 Console,,JP,Tokyo,http://1.77.175.105:8082,"NTT DOCOMO, INC."
189.161.87.178:8082,189.161.87.178,8082,http,H2 Console,,MX,Tlalnepantla,http://189.161.87.178:8082,UNINET
121.136.1.172:8082,121.136.1.172,8082,http,H2 Console,,KR,Seongnam,http://121.136.1.172:8082,Korea Telecom
195.36.29.100:8082,195.36.29.100,8082,http,H2 Console,,IT,Milan,http://195.36.29.100:8082,HAL Service SpA
160.16.208.232:8082,160.16.208.232,8082,http,H2 Console,,JP,Tokyo,http://160.16.208.232:8082,SAKURA Internet Inc.
177.66.167.199:81,177.66.167.199,81,http,H2 Console,,BR,Aguas Lindas de Goias,http://177.66.167.199:81,ALLREDE TELECOM LTDA
148.68.101.225:8082,148.68.101.225,8082,http,H2 Console,,JP,Tokyo,http://148.68.101.225:8082,"NTT DOCOMO, INC."
195.36.20.176:8082,195.36.20.176,8082,http,H2 Console,,IT,Milan,http://195.36.20.176:8082,HAL Service SpA
162.247.57.102:8082,162.247.57.102,8082,http,H2 Console,,US,Jacksonville,http://162.247.57.102:8082,SipRadius
